CustomerID,recency,frequency,monetary,r_score,f_score,m_score,segment,rf_score
12504,18,15,114.0,4,2,1,New Customers,42
12505,301,1,-4.5,1,1,1,Lost Customers,11
12506,233,23,73.5,1,2,1,Lost Customers,12
12507,134,23,1258.06,2,2,4,Lost Customers,22
12508,26,69,398.27,4,4,2,Loyal Customers,44
12509,284,7,176.5,1,1,1,Lost Customers,11
12510,143,33,982.5699999999999,2,3,4,Others,23
12512,66,34,138.03,3,3,1,Others,33
12513,85,36,586.79,2,3,3,Others,23
12514,267,51,1017.68,1,3,4,Others,13
12515,353,16,383.7,1,2,2,Lost Customers,12
12516,78,26,1312.06,2,2,4,Lost Customers,22
12517,28,286,2464.89,4,5,5,Loyal Customers,45
12518,1,124,2056.89,5,4,5,Loyal Customers,54
12519,64,18,340.84,3,2,2,Others,32
12520,79,155,2582.51,2,5,5,At Risk,25
12521,143,38,599.68,2,3,3,Others,23
12522,39,12,192.72,3,1,1,Others,31
12523,2,110,1745.57,5,4,4,Loyal Customers,54
12524,9,144,4485.72,5,5,5,Champions,55
12526,1,71,1316.66,5,4,4,Loyal Customers,54
12527,82,18,348.71000000000004,2,2,2,Lost Customers,22
12528,9,95,1922.28,5,4,4,Loyal Customers,54
12530,60,68,1623.63,3,4,4,Others,34
12531,15,17,125.22,4,2,1,New Customers,42
12532,30,16,349.83000000000004,4,2,2,New Customers,42
12534,131,63,1089.18,2,4,4,At Risk,24
12535,92,34,716.35,2,3,3,Others,23
12536,8,273,4106.82,5,5,5,Champions,55
12538,29,21,363.95,4,2,2,New Customers,42
12539,22,274,3852.5,4,5,5,Loyal Customers,45
12540,20,481,13309.039999999999,4,5,5,Loyal Customers,45
12541,30,52,981.18,4,3,4,Others,43
12544,30,20,355.7,4,2,2,New Customers,42
12545,75,50,1000.39,2,3,4,Others,23
12546,47,70,1141.5,3,4,4,Others,34
12547,198,8,207.79999999999998,1,1,1,Lost Customers,11
12548,166,5,95.19999999999999,2,1,1,Lost Customers,21
12550,79,57,964.83,2,3,4,Others,23
12551,358,10,168.0,1,1,1,Lost Customers,11
12552,39,20,437.82,3,2,2,Others,32
12553,8,196,3652.25,5,5,5,Champions,55
12556,50,121,603.71,3,4,3,Others,34
12557,16,33,11990.960000000001,4,3,5,Others,43
12558,2,22,1.0658141036401503e-14,5,2,1,New Customers,52
12559,311,22,536.21,1,2,3,Lost Customers,12
12560,5,111,2101.39,5,4,5,Loyal Customers,54
12561,303,16,238.85,1,2,2,Lost Customers,12
12562,8,168,3781.7400000000002,5,5,5,Champions,55
12564,261,21,456.9,1,2,2,Lost Customers,12
12565,282,10,131.17,1,1,1,Lost Customers,11
12566,73,20,346.7,2,2,2,Lost Customers,22
12567,23,463,9114.94,4,5,5,Loyal Customers,45
12569,2,191,4064.9900000000002,5,5,5,Champions,55
12571,40,34,519.61,3,3,3,Others,33
12572,9,62,1004.72,5,4,4,Loyal Customers,54
12573,227,28,160.54000000000002,1,2,1,Lost Customers,12
12574,316,11,218.45,1,1,1,Lost Customers,11
12576,36,89,1306.98,3,4,4,Others,34
12577,35,148,595.4,3,5,3,Others,35
12578,21,120,2753.36,4,4,5,Loyal Customers,44
12579,73,31,410.72,2,3,2,Others,23
12580,247,24,415.7,1,2,2,Lost Customers,12
12581,40,15,197.71,3,2,1,Others,32
12582,239,22,511.36,1,2,3,Lost Customers,12
12583,3,251,7187.34,5,5,5,Champions,55
12584,4,126,1893.95,5,5,4,Champions,55
12585,234,97,1982.81,1,4,4,At Risk,14
12586,17,12,179.94000000000003,4,1,1,New Customers,41
12587,8,4,144.0,5,1,1,New Customers,51
12588,39,10,214.89999999999998,3,1,1,Others,31
12589,29,35,646.68,4,3,3,Others,43
12590,190,70,9861.38,1,4,5,At Risk,14
12591,317,26,452.84999999999997,1,2,2,Lost Customers,12
12592,92,18,437.6,2,2,2,Lost Customers,22
12593,109,21,418.09999999999997,2,2,2,Lost Customers,22
12594,38,119,3320.2200000000003,3,4,5,Others,34
12596,51,27,618.27,3,2,3,Others,32
12597,19,214,3683.13,4,5,5,Loyal Customers,45
12598,10,133,3002.68,5,5,5,Champions,55
12599,29,62,1032.58,4,4,4,Loyal Customers,44
12600,29,65,2581.04,4,4,5,Loyal Customers,44
12601,190,29,569.5600000000001,1,2,3,Lost Customers,12
12602,59,12,153.12,3,1,1,Others,31
12603,22,3,739.1999999999999,4,1,3,New Customers,41
12604,79,16,254.18,2,2,2,Lost Customers,22
12605,365,3,-7.5,1,1,1,Lost Customers,11
12607,58,202,3.552713678800501e-15,3,5,1,Others,35
12609,78,60,1126.85,2,4,4,At Risk,24
12610,23,111,2057.99,4,4,5,Loyal Customers,44
12611,52,65,1193.32,3,4,4,Others,34
12612,58,21,643.59,3,2,3,Others,32
12613,31,163,3218.98,4,5,5,Loyal Customers,45
12614,278,20,315.6,1,2,2,Lost Customers,12
12615,2,105,2291.19,5,4,5,Loyal Customers,54
12616,85,36,657.25,2,3,3,Others,23
12617,29,42,355.53,4,3,2,Others,43
12618,22,11,177.31,4,1,1,New Customers,41
12619,16,95,3214.81,4,4,5,Loyal Customers,44
12620,15,92,1339.41,4,4,4,Loyal Customers,44
12621,2,474,13612.07,5,5,5,Champions,55
12622,232,11,180.1,1,1,1,Lost Customers,11
12623,276,18,305.1,1,2,2,Lost Customers,12
12624,106,38,641.13,2,3,3,Others,23
12625,212,91,2614.32,1,4,5,At Risk,14
12626,23,307,6388.35,4,5,5,Loyal Customers,45
12627,11,230,4478.53,5,5,5,Champions,55
12628,4,43,769.61,5,3,3,Others,53
12630,10,64,1270.88,5,4,4,Loyal Customers,54
12631,57,31,640.5,3,3,3,Others,33
12633,59,103,2140.63,3,4,5,Others,34
12635,90,101,1689.18,2,4,4,At Risk,24
12637,67,394,5953.25,3,5,5,Others,35
12638,33,39,671.69,3,3,3,Others,33
12639,239,22,486.1,1,2,3,Lost Customers,12
12640,24,53,1174.58,4,3,4,Others,43
12641,115,10,185.9,2,1,1,Lost Customers,21
12642,25,47,1013.26,4,3,4,Others,43
12643,128,24,3344.64,2,2,5,Lost Customers,22
12644,130,31,477.91,2,3,3,Others,23
12645,34,74,1755.38,3,4,4,Others,34
12646,5,45,1346.97,5,3,4,Others,53
12647,22,128,3669.92,4,5,5,Loyal Customers,45
12648,155,21,318.05,2,2,2,Lost Customers,22
12649,107,33,603.71,2,3,3,Others,23
12650,3,20,314.44,5,2,2,New Customers,52
12651,335,9,114.0,1,1,1,Lost Customers,11
12652,322,51,914.53,1,3,4,Others,13
12653,149,43,2209.85,2,3,5,Others,23
12654,11,38,601.98,5,3,3,Others,53
12656,17,130,3982.72,4,5,5,Loyal Customers,45
12657,11,56,1152.06,5,3,4,Others,53
12658,19,36,686.05,4,3,3,Others,43
12659,30,5,91.68,4,1,1,New Customers,41
12660,11,13,245.1,5,1,2,New Customers,51
12662,1,232,3817.08,5,5,5,Champions,55
12664,8,38,4863.88,5,3,5,Others,53
12665,325,4,61.75,1,1,1,Lost Customers,11
12666,359,2,-227.44,1,1,1,Lost Customers,11
12667,58,33,620.13,3,3,3,Others,33
12668,7,168,3743.18,5,5,5,Champions,55
12669,151,102,1607.73,2,4,4,At Risk,24
12670,10,94,2986.15,5,4,5,Loyal Customers,54
12672,330,10,225.89999999999998,1,1,1,Lost Customers,11
12673,5,42,610.52,5,3,3,Others,53
12674,12,91,1919.31,4,4,4,Loyal Customers,44
12676,25,45,1331.39,4,3,4,Others,43
12678,42,167,17588.26,3,5,5,Others,35
12679,52,56,1058.67,3,3,4,Others,33
12680,1,52,862.81,5,3,3,Others,53
12681,15,646,13677.59,4,5,5,Loyal Customers,45
12682,4,525,12288.22,5,5,5,Champions,55
12683,4,362,8221.09,5,5,5,Champions,55
12684,8,105,2283.63,5,4,5,Loyal Customers,54
12685,28,157,2863.08,4,5,5,Loyal Customers,45
12686,372,7,89.14,1,1,1,Lost Customers,11
12688,114,171,4873.8099999999995,2,5,5,At Risk,25
12689,26,72,1247.61,4,4,4,Loyal Customers,44
12690,206,16,389.01,1,2,2,Lost Customers,12
12691,28,32,1035.8,4,3,4,Others,43
12693,121,41,830.96,2,3,3,Others,23
12694,70,37,869.67,3,3,3,Others,33
12695,7,27,582.1,5,2,3,New Customers,52
12697,21,43,939.02,4,3,4,Others,43
12700,8,270,4867.99,5,5,5,Champions,55
12701,80,53,797.71,2,3,3,Others,23
12702,20,12,219.0,4,1,1,New Customers,41
12703,64,22,274.7,3,2,2,Others,32
12704,7,90,2220.84,5,4,5,Loyal Customers,54
12705,15,348,6814.24,4,5,5,Loyal Customers,45
12707,292,33,603.42,1,3,3,Others,13
12708,30,174,2616.32,4,5,5,Loyal Customers,45
12709,3,257,9294.1,5,5,5,Champions,55
12710,97,79,1130.57,2,4,4,At Risk,24
12712,23,142,4241.63,4,5,5,Loyal Customers,45
12713,1,38,848.55,5,3,3,Others,53
12714,9,259,4708.86,5,5,5,Champions,55
12715,106,21,353.86,2,2,2,Lost Customers,22
12716,4,69,1053.49,5,4,4,Loyal Customers,54
12717,151,56,980.98,2,3,4,Others,23
12718,71,19,238.25,3,2,2,Others,32
12719,5,42,608.1,5,3,3,Others,53
12720,3,359,5713.28,5,5,5,Champions,55
12721,32,164,2628.98,4,5,5,Loyal Customers,45
12722,85,57,904.33,2,3,3,Others,23
12723,4,69,725.07,5,4,3,Loyal Customers,54
12724,5,53,1031.41,5,3,4,Others,53
12725,371,24,427.8,1,2,2,Lost Customers,12
12726,28,124,2609.1,4,4,5,Loyal Customers,44
12727,11,141,3947.7,5,5,5,Champions,55
12728,71,46,836.33,3,3,3,Others,33
12729,114,26,453.01,2,2,2,Lost Customers,22
12731,24,277,18793.41,4,5,5,Loyal Customers,45
12732,180,12,236.26000000000002,1,1,2,Lost Customers,11
12733,234,22,383.95,1,2,2,Lost Customers,12
12734,353,4,110.39999999999999,1,1,1,Lost Customers,11
12735,315,43,779.5699999999999,1,3,3,Others,13
12736,333,4,234.0,1,1,1,Lost Customers,11
12738,372,11,155.35,1,1,1,Lost Customers,11
12739,78,38,1013.04,2,3,4,Others,23
12740,64,27,427.6,3,2,2,Others,32
12743,134,134,546.43,2,5,3,At Risk,25
12744,52,229,9120.39,3,5,5,Others,35
12747,2,103,4196.01,5,4,5,Loyal Customers,54
12748,1,4642,29072.1,5,5,5,Champions,55
12749,4,231,3868.2,5,5,5,Champions,55
12750,129,15,275.88,2,2,2,Lost Customers,22
12752,81,53,4366.78,2,3,5,Others,23
12753,4,230,21024.01,5,5,5,Champions,55
12754,236,65,2949.12,1,4,5,At Risk,14
12755,250,6,2203.2,1,1,5,Lost Customers,11
12756,87,4,112.07999999999998,2,1,1,Lost Customers,21
12757,16,377,4227.7,4,5,5,Loyal Customers,45
12758,117,97,2791.59,2,4,5,At Risk,24
12759,52,95,1531.44,3,4,4,Others,34
12762,8,69,1898.52,5,4,4,Loyal Customers,54
12763,138,18,494.08,2,2,3,Lost Customers,22
12764,317,45,1693.88,1,3,4,Others,13
12766,4,310,6989.63,5,5,5,Champions,55
12769,239,32,1143.6,1,3,4,Others,13
12770,211,12,1351.45,1,1,4,Lost Customers,11
12772,60,55,892.47,3,3,3,Others,33
12775,17,67,1351.24,4,4,4,Loyal Customers,44
12778,20,51,804.23,4,3,3,Others,43
12779,21,159,3868.7,4,5,5,Loyal Customers,45
12781,21,30,707.72,4,3,3,Others,43
12782,5,107,2273.32,5,4,5,Loyal Customers,54
12783,2,86,1603.87,5,4,4,Loyal Customers,54
12784,9,59,574.42,5,4,3,Loyal Customers,54
12785,3,15,305.71,5,2,2,New Customers,52
12787,10,20,463.66,5,2,2,New Customers,52
12789,65,4,91.85,3,1,1,Others,31
12790,192,21,324.92,1,2,2,Lost Customers,12
12791,374,2,192.60000000000002,1,1,1,Lost Customers,11
12792,257,25,400.53999999999996,1,2,2,Lost Customers,12
12793,335,24,545.48,1,2,3,Lost Customers,12
12794,53,45,860.41,3,3,3,Others,33
12795,19,14,430.48,4,1,2,New Customers,41
12797,360,17,194.18,1,2,1,Lost Customers,12
12798,10,8,6977.04,5,1,5,New Customers,51
12802,184,26,412.58,1,2,2,Lost Customers,12
12808,37,28,483.65000000000003,3,2,3,Others,32
12809,168,26,484.36,2,2,3,Lost Customers,22
12811,261,31,514.85,1,3,3,Others,13
12812,45,15,229.64000000000001,3,2,1,Others,32
12814,102,2,125.92,2,1,1,Lost Customers,21
12815,148,47,1063.46,2,3,4,Others,23
12816,96,29,572.2,2,2,3,Lost Customers,22
12817,281,4,166.04,1,1,1,Lost Customers,11
12818,178,16,1517.88,2,2,4,Lost Customers,22
12820,3,59,942.34,5,4,4,Loyal Customers,54
12821,214,6,92.72,1,1,1,Lost Customers,11
12822,71,47,918.98,3,3,4,Others,33
12823,75,5,1759.5,2,1,4,Lost Customers,21
12824,60,25,397.12,3,2,2,Others,32
12826,3,94,1468.1200000000001,5,4,4,Loyal Customers,54
12827,6,25,430.15000000000003,5,2,2,New Customers,52
12828,3,56,1018.71,5,3,4,Others,53
12829,322,12,253.05,1,1,2,Lost Customers,11
12830,38,39,6748.4,3,3,5,Others,33
12831,262,9,215.05,1,1,1,Lost Customers,11
12832,32,27,383.03,4,2,2,New Customers,42
12833,145,24,417.38,2,2,2,Lost Customers,22
12834,283,18,312.38,1,2,2,Lost Customers,12
12836,59,175,2612.86,3,5,5,Others,35
12837,173,12,134.1,2,1,1,Lost Customers,21
12838,34,123,683.13,3,4,3,Others,34
12839,3,316,5583.62,5,5,5,Champions,55
12840,144,116,2714.27,2,4,5,At Risk,24
12841,5,439,3876.4,5,5,5,Champions,55
12842,70,34,1118.99,3,3,4,Others,33
12843,66,108,1680.76,3,4,4,Others,34
12844,29,52,325.96000000000004,4,3,2,Others,43
12845,267,27,354.09,1,2,2,Lost Customers,12
12847,22,91,871.54,4,4,3,Loyal Customers,44
12849,31,51,1050.8899999999999,4,3,4,Others,43
12851,97,50,135.18,2,3,1,Others,23
12852,290,20,299.75,1,2,2,Lost Customers,12
12853,108,84,1881.7,2,4,4,At Risk,24
12854,79,115,1289.15,2,4,4,At Risk,24
12855,373,3,38.1,1,1,1,Lost Customers,11
12856,8,317,2162.68,5,5,5,Champions,55
12857,211,46,1106.4,1,3,4,Others,13
12863,52,6,504.2,3,1,3,Others,31
12864,138,3,147.12,2,1,1,Lost Customers,21
12865,26,96,1548.07,4,4,4,Loyal Customers,44
12866,283,26,559.12,1,2,3,Lost Customers,12
12867,26,551,3986.22,4,5,5,Loyal Customers,45
12868,186,107,1607.0600000000002,1,4,4,At Risk,14
12870,366,2,-14.899999999999999,1,1,1,Lost Customers,11
12871,84,11,380.64,2,1,2,Lost Customers,21
12872,327,66,599.97,1,4,3,At Risk,14
12873,282,4,374.0,1,1,2,Lost Customers,11
12875,143,2,343.2300000000001,2,1,2,Lost Customers,21
12876,58,85,2218.02,3,4,5,Others,34
12877,4,154,1535.77,5,5,4,Champions,55
12878,18,49,841.64,4,3,3,Others,43
12879,45,12,552.5699999999999,3,1,3,Others,31
12881,276,7,298.0,1,1,2,Lost Customers,11
12882,9,13,1463.04,5,1,4,New Customers,51
12883,25,42,703.47,4,3,3,Others,43
12884,88,7,309.05,2,1,2,Lost Customers,21
12885,63,72,1158.27,3,4,4,Others,34
12886,68,86,1351.09,3,4,4,Others,34
12888,214,7,313.77,1,1,2,Lost Customers,11
12890,24,82,380.46999999999997,4,4,2,Loyal Customers,44
12891,186,3,331.0,1,1,2,Lost Customers,11
12893,31,34,188.14,4,3,1,Others,43
12895,42,24,347.3,3,2,2,Others,32
12897,205,4,216.5,1,1,1,Lost Customers,11
12901,9,125,16293.1,5,5,5,Champions,55
12902,265,10,138.68,1,1,1,Lost Customers,11
12904,18,72,509.58,4,4,3,Loyal Customers,44
12906,12,63,2919.81,4,4,5,Loyal Customers,44
12908,59,4,246.0,3,1,2,Others,31
12909,40,96,2128.83,3,4,5,Others,34
12910,23,75,3075.04,4,4,5,Loyal Customers,44
12912,3,24,1662.3,5,2,4,New Customers,52
12913,5,50,2483.63,5,3,5,Others,53
12915,149,22,363.65,2,2,2,Lost Customers,22
12916,139,109,2982.35,2,4,5,At Risk,24
12917,128,2,594.0,2,1,3,Lost Customers,21
12919,8,52,1301.44,5,3,4,Others,53
12920,17,28,164.23,4,2,1,New Customers,42
12921,4,741,16389.74,5,5,5,Champions,55
12922,161,28,405.38,2,2,2,Lost Customers,22
12923,64,29,176.97,3,2,1,Others,32
12924,88,31,929.95,2,3,4,Others,23
12925,5,45,694.05,5,3,3,Others,53
12928,35,84,2062.7000000000003,3,4,5,Others,34
12929,122,9,105.1,2,1,1,Lost Customers,21
12930,78,27,409.9,2,2,2,Lost Customers,22
12931,22,102,33462.81,4,4,5,Loyal Customers,44
12933,24,107,606.28,4,4,3,Loyal Customers,44
12935,2,130,2156.45,5,5,5,Champions,55
12936,17,63,1012.9,4,4,4,Loyal Customers,44
12937,15,120,1504.27,4,4,4,Loyal Customers,44
12938,26,9,114.14,4,1,1,New Customers,41
12939,64,47,11581.8,3,3,5,Others,33
12940,46,103,876.29,3,4,3,Others,34
12942,131,75,683.9,2,4,3,At Risk,24
12943,301,1,-3.75,1,1,1,Lost Customers,11
12944,36,30,604.51,3,3,3,Others,33
12945,288,23,462.95,1,2,2,Lost Customers,12
12947,144,103,1407.29,2,4,4,At Risk,24
12948,16,118,2053.7,4,4,5,Loyal Customers,44
12949,31,219,4143.02,4,5,5,Loyal Customers,45
12950,2,23,1843.0,5,2,4,New Customers,52
12951,9,65,1042.07,5,4,4,Loyal Customers,54
12952,6,80,1382.8400000000001,5,4,4,Loyal Customers,54
12953,10,17,329.85,5,2,2,New Customers,52
12955,1,183,4734.26,5,5,5,Champions,55
12956,306,19,108.07,1,2,1,Lost Customers,12
12957,4,244,3979.04,5,5,5,Champions,55
12962,7,16,266.39,5,2,2,New Customers,52
12963,8,96,1841.03,5,4,4,Loyal Customers,54
12965,89,109,771.91,2,4,3,At Risk,24
12966,10,10,160.18,5,1,1,New Customers,51
12967,3,33,1194.75,5,3,4,Others,53
12968,112,5,135.95,2,1,1,Lost Customers,21
12970,7,151,452.24,5,5,2,Champions,55
12971,4,308,10930.26,5,5,5,Champions,55
12974,198,8,144.8,1,1,1,Lost Customers,11
12976,212,22,738.6,1,2,3,Lost Customers,12
12977,156,9,39.239999999999995,2,1,1,Lost Customers,21
12980,156,24,7092.06,2,2,5,Lost Customers,22
12981,30,20,372.21999999999997,4,2,2,New Customers,42
12982,240,34,377.2,1,3,2,Others,13
12984,19,4,97.5,4,1,1,New Customers,41
12985,1,78,1215.6200000000001,5,4,4,Loyal Customers,54
12987,74,30,545.0,2,3,3,Others,23
12988,292,92,535.32,1,4,3,At Risk,14
12989,3,68,6854.51,5,4,5,Loyal Customers,54
12990,31,13,409.5,4,1,2,New Customers,41
12991,23,31,503.76,4,3,3,Others,43
12993,23,27,414.76,4,2,2,New Customers,42
12994,4,73,902.22,5,4,3,Loyal Customers,54
12995,78,5,200.72,2,1,1,Lost Customers,21
12997,22,67,1197.94,4,4,4,Loyal Customers,44
12999,196,28,455.88,1,2,2,Lost Customers,12
13000,107,31,534.85,2,3,3,Others,23
13001,4,342,9797.92,5,5,5,Champions,55
13002,318,7,120.94999999999999,1,1,1,Lost Customers,11
13003,106,6,149.05,2,1,1,Lost Customers,21
13004,12,409,5613.43,4,5,5,Loyal Customers,45
13005,174,29,468.95,2,2,3,Lost Customers,22
13006,56,4,81.57,3,1,1,Others,31
13008,323,15,178.46999999999997,1,2,1,Lost Customers,12
13011,372,3,50.550000000000004,1,1,1,Lost Customers,11
13012,9,107,1311.6200000000001,5,4,4,Loyal Customers,54
13013,1,222,4786.99,5,5,5,Champions,55
13014,3,124,3365.43,5,4,5,Loyal Customers,54
13015,53,176,3346.28,3,5,5,Others,35
13016,73,47,789.89,2,3,3,Others,23
13017,7,1,204.0,5,1,1,New Customers,51
13018,16,459,7272.75,4,5,5,Loyal Customers,45
13021,4,134,2584.4,5,5,5,Champions,55
13023,64,40,689.9,3,3,3,Others,33
13026,1,43,936.15,5,3,4,Others,53
13027,114,26,6912.0,2,2,5,Lost Customers,22
13028,23,47,659.68,4,3,3,Others,43
13029,31,10,1247.5,4,1,4,New Customers,41
13030,11,99,799.48,5,4,3,Loyal Customers,54
13032,39,75,996.52,3,4,4,Others,34
13033,357,11,190.55,1,1,1,Lost Customers,11
13034,55,37,642.77,3,3,3,Others,33
13035,58,30,886.63,3,3,3,Others,33
13037,138,48,881.07,2,3,3,Others,23
13038,80,28,908.46,2,2,3,Lost Customers,22
13040,9,43,676.99,5,3,3,Others,53
13043,254,14,471.57,1,1,3,Lost Customers,11
13044,291,33,560.47,1,3,3,Others,13
13045,99,18,305.28000000000003,2,2,2,Lost Customers,22
13046,31,35,629.31,4,3,3,Others,43
13047,32,196,3079.1,4,5,5,Loyal Customers,45
13048,14,137,1805.91,4,5,4,Loyal Customers,45
13049,64,14,656.6800000000001,3,1,3,Others,31
13050,9,422,5684.61,5,5,5,Champions,55
13052,212,18,348.15000000000003,1,2,2,Lost Customers,12
13055,64,78,1201.96,3,4,4,Others,34
13058,25,8,271.40000000000003,4,1,2,New Customers,41
13059,250,8,183.4,1,1,1,Lost Customers,11
13060,254,15,307.53,1,2,2,Lost Customers,12
13061,72,10,248.61,2,1,2,Lost Customers,21
13062,191,11,346.98,1,1,2,Lost Customers,11
13064,13,69,1119.49,4,4,4,Loyal Customers,44
